smiles,group,HIA
O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1CN2CCC1CC2,training,1
C[N+]1(C)CCCC1COC(=O)C(O)(c1ccccc1)c1ccccc1,training,0
NC(=O)N1c2ccccc2CC(=O)c2ccccc21,training,1
CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,training,1
O=C1NS(=O)(=O)c2ccccc21,training,1
CCO[C@@H](Cc1ccc(OCCc2ccc(OS(C)(=O)=O)cc2)cc1)C(=O)O,training,1
CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,training,1
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,training,1
CN1[C@H](CSCC(F)(F)F)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,training,1
C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,training,1
CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,training,1
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,training,1
COc1cc(N)c(Cl)cc1C(=O)N[C@@H]1CCN(CCCOc2ccc(F)cc2)C[C@@H]1OC,training,1
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,training,1
Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,training,1
COC1=CC(=O)C[C@H](C)[C@@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,training,1
NCC(=O)O,training,1
O=C(NC[C@H]1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,training,1
Cc1cnc(C(=O)O)c[n+]1[O-],training,1
NC12CC3CC(CC(C3)C1)C2,training,1
N=C(N)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H](NCC(=O)O)C2CCCCC2)cc1,training,0
O=NN(CCCl)C(=O)NCCCl,training,1
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O,training,1
C[C@@]12CC[C@H]3c4ccc(O)cc4CC[C@H]3[C@H]1CCC2=O,training,1
O=c1oc2ccccc2c([O-])c1Cc1c(O)c2ccccc2oc1=O,training,1
O=S(=O)([O-])OCC1OC(OC2(COS(=O)(=O)[O-])OC(OS(=O)(=O)[O-])C(OS(=O)(=O)[O-])C2OS(=O)(=O)[O-])C(OS(=O)(=O)[O-])C(OS(=O)(=O)[O-])C1OS(=O)(=O)[O-],training,0
O=C1CC[C@@]2(O)[C@@H]3Cc4ccc(O)c5c4[C@]2(CCN3CC2CC2)[C@H]1O5,training,1
CC[C@H](c1ccccc1)c1c(O)c2ccccc2oc1=O,training,1
CCC1(c2ccccc2)C(=O)NCNC1=O,training,1
CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1,training,1
C[N+](C)[C@H]1C(=O)C(C(N)=O)C(=O)[C@@]2(O)C([O-])=C3C(=O)c4c(O)ccc(Cl)c4[C@H](O)[C@H]3C[C@@H]12,training,1
COC(=O)[C@H](c1ccccc1)[C@H]1CCCCN1,training,1
CN1CCC[C@@H](N2N[C@H](Cc3ccc(Cl)cc3)c3ccccc3C2=O)CC1,training,1
CO/N=C(\C(=O)NC1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CSC12)c1csc(N)n1,training,0
N[C@H]1CONC1=O,training,1
CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,training,1
C[C@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@@H](C)N1,training,1
COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,training,1
CC(CS)C(=O)N1CCCC1C(=O)O,training,1
CCCN[C@H]1CCc2nc(N)sc2C1,training,1
O=C(O[C@H]1CN2CCC1CC2)N1CCc2ccccc2[C@@H]1c1ccccc1,training,1
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,training,1
OCC(O)C(O)C(O)C(O)CO,training,0
O=S(=O)([O-])O[C@H]1[C@@H](O)CO[C@@H](O[C@H]2CO[C@H](O)[C@@H](OS(=O)(=O)[O-])[C@H]2OS(=O)(=O)[O-])[C@H]1OS(=O)(=O)[O-],training,1
CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,training,1
Cc1nccn1C[C@@H]1CCc2c(c3ccccc3n2C)C1=O,training,1
NC(=O)N1c2ccccc2C=Cc2ccccc21,training,1
COc1cc(O)c2c(c1)C(=O)c1cc(C)cc(O)c1C2=O,training,1
CN1CCC(=C2c3ccccc3CCc3sccc32)CC1,training,1
Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c45)ccc3C)c2)c1,training,0
CC1(C)[C@@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,training,0
CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,training,1
C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O,training,1
Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,training,1
O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,training,1
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,training,1
CC1(C)S[C@@H]2[C@H](NC(=O)[C@@H](C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,training,1
C[C@]12CC[C@@H]3c4ccc(OC(=O)N(CCCl)CCCl)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,training,1
CC(=O)[C@]1(O)CC[C@H]2[C@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@@H]3CC[C@@]21C,training,1
C[C@@H]1NC(=O)[C@@H](N)CNC(=O)[C@H]([C@H]2CCN=C(N)N2)NC(=O)/C(=C\NC(N)=O)NC(=O)[C@H](CNC(=O)C[C@@H](N)CCCN)NC1=O,training,1
O=C(O)c1cc(=O)c2cc(OC[C@H](O)COc3cccc4oc(C(=O)O)cc(=O)c34)ccc2o1,training,1
C[C@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@H]3CC[C@@H](C(=O)N(C)C)N3)[C@H](C)[C@H]12,training,0
Nc1nc2ccc(OC(F)(F)F)cc2s1,training,1
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2,training,1
O=C1NCC2(CCN(CCc3ccccc3)CC2)O1,training,1
CC(C)(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,training,0
CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F,training,1
C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO,training,1
CN1CCN(C(=O)O[C@@H]2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,training,1
CCOC(=O)[C@@H](CCc1ccccc1)N[C@H](C)C(=O)N1CCC[C@H]1C(=O)O,training,1
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,training,1
COc1cccc(C(=O)CCN[C@@H](C)[C@@H](O)c2ccccc2)c1,training,1
CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)[C@H]1CCC(=O)C[C@@H]21,training,1
Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,training,1
C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO,training,1
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,training,1
O=c1[nH]cc(F)c(=O)[nH]1,training,0
CN1[C@H]2CC[C@H]1CC(OC(c1ccccc1)c1ccccc1)C2,training,1
Nc1nc(F)nc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,training,1
CCN(CC)C(=O)C1(c2ccccc2)CC1CN,training,1
COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,training,1
CN(C)Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,training,1
O=CN(O)CCCP(=O)(O)O,training,0
CCN(CC)CCOc1ccc(/C(=C(\Cl)c2ccccc2)c2ccccc2)cc1,training,1
C[N+]1(C)CCC[C@H](OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,training,1
COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1,training,1
C1CNCCN1,training,1
S=c1nc[nH]c2nc[nH]c12,training,1
C=C1/C(=C/C=C2\CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O,training,1
O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21,training,1
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@H]12)c1csc(N)n1,training,0
CCOc1ccc2ccccc2c1C(=O)N[C@H]1C(=O)N2[C@H]1SC(C)(C)[C@H]2C(=O)O,training,1
O=C(O)CN(CCN(CC(=O)O)Cc1ccccc1O)Cc1ccccc1O,training,0
C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,training,1
CCN(CC)c1cc(C)nc2ncnn12,training,1
CC(C)(C)c1ccc([C@H](O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,training,1
C[C@@H](C(=O)O)c1ccc(C(=O)c2ccccc2)s1,training,1
CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,training,1
CC(=O)OC1CC2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2(C)CC1[N+]1(C)CCCCC1,training,0
Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,training,1
COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,training,1
N=C1N[C@@H](O)C[C@H]([C@@H]2NC(=O)/C(=C/NC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)C[C@@H](N)CCCN)CNC2=O)N1,training,1
Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,training,1
NCC1CCC(C(=O)O)CC1,training,1
CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21,training,1
O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,training,1
CCC1(C)CC(=O)NC1=O,training,1
COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,training,1
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,training,1
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)N[C@@H](Cc1ccccc1)NS2(=O)=O,training,1
ClC(Cl)Cl,training,1
CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCCN2CCC[C@@H](C(=O)O)N2C1=O,training,1
CC#CCC(C)C(O)/C=C/C1C(O)CC2C/C(=C\CCCC(=O)O)CC21,training,0
O=NC=C1C=CN(COCN2C=CC(=CN=O)C=C2)C=C1,training,0
N=C(N)NC[C@@H]1COc2ccccc2O1,training,1
NS(=O)(=O)c1cc(-c2nn[nH]n2)c(NCc2cccs2)cc1Cl,training,0
COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)[C@H]1c1cccc2nonc12,training,1
CCCCC/C=C/C/C=C/C/C=C/CCCCCCC(=O)O,training,1
O=P1(NCCCl)OCCCN1CCCl,training,1
N=C(N)NC[C@H]1COC2(CCCCC2)O1,training,1
CC[C@H](C(N)=O)N1CCCC1=O,training,1
N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,training,1
c1ccc2c(c1)OCC(C1=NCCN1)O2,training,1
COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2,training,1
COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,training,1
CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@@H]3[C@H]1C5,training,1
CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,training,1
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,training,1
O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,training,1
O=C(COCCOCCOCC(=O)Nc1c(I)c(I)cc(I)c1C(=O)O)Nc1c(I)c(I)cc(I)c1C(=O)O,training,0
O[C@](CCN1CCCCC1)(c1ccccc1)C1CCCCC1,training,1
NC(=O)C(c1ccccc1)(c1ccccc1)[C@H]1CCN(CCc2ccc3c(c2)CCO3)C1,training,1
CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,training,0
O=[N+]([O-])OCC(O)CO,training,1
CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,training,1
CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1,training,1
Cc1cccc(Nc2ccccc2C(=O)O)c1C,training,1
O=C(O)[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21,training,1
NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1,training,1
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,training,1
OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,training,1
COc1ccccc1N1CCN(CCCNc2cc(=O)n(C)c(=O)n2C)CC1,training,1
O=C(O)Cc1ccccc1Oc1ccc(Cl)cc1Cl,training,1
CCN(CC)CCOC(=O)[C@H](Cc1ccc2ccccc2c1)C[C@H]1CCCO1,training,1
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,training,1
COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,training,1
NC(=O)CN1CC(O)CC1=O,training,1
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,training,1
CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12,training,1
Cc1nc2c([nH]1)CCN(C(=O)c1ccc(NC(=O)c3ccccc3-c3ccccc3)cc1)c1ccccc1-2,training,1
CCN[C@H]1[C@H]2CC[C@@H](C2)[C@H]1c1ccccc1,training,1
CC(C)[C@H](C)/C=C/[C@H](C)[C@H]1CC[C@H]2/C(=C/C=C3/C[C@H](O)CC[C@@H]3C)CCC[C@@]21C,training,1
C#C[C@@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,training,1
Cc1cc(C)cc(OC[C@H]2CNC(=O)O2)c1,training,1
O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1,training,0
C[C@H](CN1CCOCC1)C(C(=O)N1CCCC1)(c1ccccc1)c1ccccc1,training,1
C[C@H](NCCc1ccc(O)cc1)[C@@H](O)c1ccc(O)cc1,training,1
NC(=O)c1cnccn1,training,1
c1ccc(C2(c3ccccc3)CC2C2=NCCN2)cc1,training,1
CCOC(=O)C1(c2ccccc2)CCN(CCC(O)c2ccccc2)CC1,training,0
CCC[C@@H](N[C@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)OCC,training,1
C[C@H](C(=O)O)c1ccc([C@H]2CCC/C(=N/O)C2)cc1,training,1
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C,training,1
CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H](C(=O)O)C(C)(C)S[C@H]23)c2ccccc2)C(=O)C1=O,training,0
NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,training,1
CC(C)(C)NC[C@H](O)COc1cccc2c1CCCC2=O,training,1
CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,training,1
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,training,1
OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,training,1
NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(Cl)CCC12)c1ccccc1,training,1
Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,training,1
CC/C=C/C/C=C/C/C=C/C/C=C/C/C=C/CCCC(=O)O,training,1
CN(C)CC/C=C1\c2ccccc2COc2ccc(CC(=O)O)cc21,training,1
C[n+]1ccccc1/C=N/O,training,0
NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O,training,1
OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,training,0
CC1=Nc2ccc(Cl)cc2S(=O)(O)=N1,training,1
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1,training,0
CC(=O)[C@H]1CC[C@H]2[C@H]3C=CC4=CC(=O)CC[C@@]4(C)[C@H]3CC[C@@]12C,training,1
CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,training,1
NS(=O)(=O)c1cc([C@@]2(O)NC(=O)c3ccccc32)ccc1Cl,training,1
c1ccc(CC2=NCCN2)cc1,training,1
CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,training,1
C[C@@]12CC[C@H]3c4ccc(OS(=O)(=O)[O-])cc4CC[C@H]3[C@H]1CCC2=O,training,1
NCCCNCCSP(=O)(O)O,training,1
CC[C@]1(c2cccc(O)c2)CCCCN(C)C1,training,1
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,training,1
CC(C)NCC(O)COc1ccc(OCCOCC2CC2)cc1,training,1
Nc1nc(=O)c2ncn(CCC(CO)CO)c2[nH]1,training,0
CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21,training,1
