smiles,group,FDAMDD
CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21,training,0
O=C(Cn1cnnn1)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nncs3)CS[C@H]12,training,0
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CS[C@H]12)c1csc(N)n1,training,0
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1,training,0
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1,training,0
CN=C1CN(O)C(c2ccccc2)=c2cc(Cl)ccc2=N1,training,1
CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,training,1
NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,training,1
Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,training,1
CCC[C@@H]1C[C@@H](C(=O)N[C@H]([C@H](C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1,training,0
C[C@]12C[C@H](O)[C@H]3[C@@H](C=C(Cl)C4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,training,1
Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,training,0
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,training,0
CC1(C)S[C@@H]2[C@H](NC(=O)C3(N)CCCCC3)C(=O)N2[C@H]1C(=O)O,training,0
CN1CCN(C(c2ccccc2)c2ccccc2)CC1,training,0
CC1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,training,1
NS(=O)(=O)c1cc2c(cc1Cl)NC(CC1CCCC1)NS2(=O)=O,training,1
CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,training,1
CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C,training,0
N[C@@H](CS)C(=O)O,training,0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,training,1
CN(C)CC[C@@H](c1ccc(Br)cc1)c1ccccn1,training,1
C[C@@]12CCCCC[C@@H](Cc3ccc(O)cc31)[C@@H]2N,training,1
CN(C)CCN1C(=O)c2ccccc2N(C)c2ccccc21,training,0
O[C@@H]([C@H](O)[C@@H](O)CBr)[C@@H](O)CBr,training,0
O=C(O)C(Cl)Cl,training,0
Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,training,0
CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,training,0
N#CC(CCN1CCC(C(=O)O)(c2ccccc2)CC1)(c1ccccc1)c1ccccc1,training,1
O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,training,0
CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2/C(=C/C=C3\C[C@@H](O)CC[C@@H]3C)CCC[C@@]21C,training,1
CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O,training,1
OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1,training,0
CN(C)CC/C=C1\c2ccccc2CSc2ccccc21,training,1
C[C@@H]1C[C@@]2(C)[C@@H](CC[C@H]3[C@@H]4CC[C@H](O)[C@@]4(C)CC[C@@H]32)CC1=O,training,1
Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,training,0
CCOP(=O)(OCC)SCC[N+](C)(C)C,training,1
CCOc1c(N2CCOCC2)cnn(C)c1=O,training,0
COc1ccc(C(=O)Nc2ccccc2CCC2CCCCN2C)cc1,training,1
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,training,1
Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2,training,1
CCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C,training,1
C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CCC2=O,training,1
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,training,1
CCC1(C)CC(=O)NC1=O,training,0
CC(O)(P(=O)(O)O)P(=O)(O)O,training,0
CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl,training,1
Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,training,0
COC(=O)Nc1nc2ccc(C(=O)c3ccc(F)cc3)cc2[nH]1,training,1
Nc1[nH]c(=O)ncc1F,training,0
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,training,1
O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,training,0
CN[C@@H]1CCc2[nH]c3ccc(C(N)=O)cc3c2C1,training,1
CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C[C@@H](O)[C@H]3[C@@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4CC[C@@]32C)/C1=C(\CCC=C(C)C)C(=O)O,training,0
N[C@@H](CCC(=O)O)C(=O)O,training,0
C[N+]1(C)CCC(OC(=O)CC(O)(c2ccccc2)C2CCCC2)C1,training,1
CCC(C)(C)N=C(N)NC#N,training,0
NCCc1cnc[nH]1,training,1
CN1[C@H]2CC[C@@H]1CC(OC(=O)C(O)c1ccccc1)C2,training,1
OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,training,0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCN=CN)C[C@H]12,training,0
OC1C(O)C(O)C(O)C(O)C1O,training,0
CC(I)C1OCC(CO)O1,training,0
CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,training,0
CC1=C(/C=C/C(C)=C\C=C\C(C)=C/C(=O)O)C(C)(C)CCC1,training,1
C=CCN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,training,1
CCC[C@@H]1C[C@@H](C(=O)N[C@H]([C@@H](C)O)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1,training,0
CCN(CC)CCNc1ccc(C)c2sc3ccccc3c(=O)c12,training,0
Cc1cc(O)c2ccccc2c1O,training,1
COc1ccccc1OCC1CNC(=O)O1,training,0
Cc1ncc([N+](=O)[O-])n1CCO,training,0
CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,training,1
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2cc(OC)c(OC)cc2C[C@H]1C(=O)O,training,1
C[C@H](CSC(=O)[C@@H](C)NC(=O)C1CCCCC1)C(=O)N1CCC[C@H]1C(=O)O,training,1
CO[C@@]1(NC(=O)C(C(=O)O)c2ccc(O)cc2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CO[C@@H]21,training,0
CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(=O)C[C@@H]21,training,1
NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O)[C@H]2O)[C@H](N)[C@@H](O)[C@@H]1O,training,0
O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,training,0
Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,training,1
CC[N+]1(C)[C@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21,training,1
CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,training,0
CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,training,1
CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1[N+]1(C)CCCCC1,training,1
COc1ccnc(CS(=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC,training,1
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,training,0
CC(C)(C)NC[C@H](O)COc1ccccc1C1CCCC1,training,1
O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-],training,0
N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,training,0
O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,training,1
CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21,training,0
CC[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,training,1
CC(C)(Oc1ccc(Cl)cc1)C(=O)NC(=O)NCN1CCOCC1,training,0
CC(C(=O)O)c1ccc2c(c1)Cc1cccnc1O2,training,0
O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1,training,1
CC[N+]1(CC)CCC(=C(c2ccccc2)c2ccccc2)C1C,training,1
CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C,training,0
CCCOC(=O)Cn1cc(I)c(=O)c(I)c1,training,0
Cc1c(C(C)C)c(=O)n(-c2ccccc2)n1C,training,0
CNCCCC1c2ccccc2C=Cc2ccccc21,training,1
CN(C)C(=O)Oc1ccc[n+](C)c1,training,0
Clc1ccc(C/C(=C\CN2CCCC2)c2ccccc2)cc1,training,1
Cc1cc(/C=C/c2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1,training,1
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,training,1
Cn1c(=O)c2c(ncn2CCCNCC(O)c2cc(O)cc(O)c2)n(C)c1=O,training,1
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,training,0
CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,training,1
OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O,training,1
C/C=C(/CC[C@@H](C)[C@H]1CC[C@H]2C3=CC[C@H]4[C@H](C)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,training,0
Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,training,0
O=S([O-])CNc1ccc(S(=O)(=O)c2ccc(NCS(=O)[O-])cc2)cc1,training,0
NS(=O)(=O)c1ccc(N2CCCCS2(=O)=O)cc1,training,0
O=C(O)[C@H](O)[C@@H](O)C(=O)O,training,0
C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,training,0
CC1(O)CCC(C(C)(C)O)CC1,training,0
CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,training,0
Nc1nc(=S)c2[nH]cnc2[nH]1,training,0
CN1CCN(CC/C=C2\c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,training,1
O=c1cc[nH]c(=S)[nH]1,training,0
Clc1ccccc1CN1CCc2sccc2C1,training,0
O=C(CCCN1CCC(n2c(=S)[nH]c3ccccc32)CC1)c1ccc(F)cc1,training,1
Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,training,0
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@H]2CCCC[C@@H]21,training,1
COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC,training,0
OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,training,1
CO[C@H]1C[C@H](O[C@@H]2[C@@H](C)C(=O)O[C@H](C)[C@H](C)[C@H](OC(C)=O)[C@@H](C)C(=O)[C@@]3(CO3)C[C@H](C)[C@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3OC(C)=O)[C@H]2C)O[C@@H](C)[C@@H]1OC(C)=O,training,0
CCCC(CCC)C(N)=O,training,0
CN(CCO)CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,training,0
Cc1cccc(C)c1NC(=O)c1cc(S(N)(=O)=O)c(Cl)cc1O,training,1
Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1,training,1
CC(=O)N[C@@H]1[C@@H](N=C(N)N)C=C(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO,training,1
C[C@H]1CCC[C@H](O)CCCCCc2cc(O)cc(O)c2C(=O)O1,training,1
CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21,training,0
CC(=O)NO,training,0
O=c1[nH]cnc2[nH]ncc12,training,0
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C,training,1
NCCCCCC(=O)O,training,0
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,training,0
N[C@@H](CC(=O)O)C(=O)O,training,0
COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,training,1
CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,training,0
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,training,1
CN1[C@H]2CC[C@@H]1CC(OC(c1ccccc1)c1ccccc1)C2,training,1
C[N+](C)(CCOc1ccccc1)Cc1ccccc1,training,0
NCCc1ccn[nH]1,training,1
CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,training,1
CCCCC(C(=O)O)C(=O)N(Nc1ccccc1)c1ccccc1,training,0
CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,training,1
C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)(C)O,training,1
C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CCCC(C)(C)O)C[C@@H](O)C[C@@H]1O,training,1
COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4,training,0
N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3cn[nH]n3)CS[C@H]12)c1ccc(O)cc1,training,0
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(C)c(CC(=O)O)s3)CS[C@H]12)c1csc(N)n1,training,0
NCc1ccccc1CC(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3CC(=O)O)CS[C@H]12,training,0
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@H]12)c1csc(N)n1,training,0
CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1,training,0
CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,training,0
O=c1[nH]c2cc(Cl)ccc2o1,training,0
Cc1c(C(=O)O)c(O)cc2c1C(=O)c1c(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c(O)c1C2=O,training,0
C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,training,1
CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C(=O)O,training,1
O=C(O)CC(O)(CC(=O)O)C(=O)O,training,0
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)C(C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,training,0
C[N+]12CCC(CC1)C(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2,training,1
CN1CCN(C2=Nc3ccccc3Sc3ccc(Cl)cc32)CC1,training,1
CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl,training,1
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@@]21C,training,0
CC1CC(OC(=O)C(O)c2ccccc2)CC(C)(C)C1,training,0
NCCS,training,0
CN(C)CCO,training,0
CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CCC(=O)[C@@]4(C)CC[C@@H]32)C1,training,1
CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,training,0
CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12,training,0
C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6CC[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,training,1
NNc1nnc(NN)c2ccccc12,training,0
COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314,training,1
CN(C)CCCN1c2ccccc2C(C)(C)c2ccccc21,training,0
C[N+]1(C)CCC(=C(c2ccccc2)c2ccccc2)CC1,training,0
CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1,training,1
Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,training,0
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,training,1
CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)[C@H](C)C[C@]4(C)[C@H]3CC[C@]12C,training,1
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,training,0
CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)C[C@@H]2O/C(=C\CCCC(=O)O)C[C@@H]21,training,1
CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C,training,0
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,training,1
C[C@]12CC[C@@H]3c4ccc(OC(=O)Cc5ccc(N(CCCl)CCCl)cc5)cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)Cc1ccc(N(CCCl)CCCl)cc1,training,0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,training,1
CCOC(=O)c1cncn1C(C)c1ccccc1,training,1
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F,training,1
OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O,training,0
Cc1ccc(S(=O)(=O)NC(=O)NN2CC3CCCC3C2)cc1,training,0
COc1ccc2c(c1)C(=O)N(CCc1ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc1)C(=O)C2(C)C,training,1
N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,training,0
CC(C)(C)c1nnc(NS(=O)(=O)c2ccccc2)s1,training,0
NCC(=O)O,training,0
CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,training,0
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5,training,1
CC(CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,training,0
OCC1COC(CCI)O1,training,0
Oc1c(I)cc(I)c2cccnc12,training,0
O=c1[nH]c(=S)[nH]cc1I,training,0
CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@H]5CO[C@](Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,training,0
Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,training,0
Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,training,1
N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,training,1
CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,training,1
N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,training,1
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,training,1
CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,training,1
CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,training,1
CCC(C)C(C)(COC(N)=O)COC(N)=O,training,0
CNC1(C)C2CCC(C2)C1(C)C,training,1
COc1ccc2[nH]cc(CCNC(C)=O)c2c1,training,1
CC1CCC(C(C)C)C(O)C1,training,0
CCCC(C)(COC(N)=O)COC(N)=O,training,0
CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21,training,0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,training,1
CN(C)C(=N)N=C(N)N,training,0
CC(=O)N=c1sc(S(N)(=O)=O)nn1C,training,0
CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1,training,0
CCC1(CC)C(=O)NCC(C)C1=O,training,0
CC(C)(C(=O)c1cccnc1)c1cccnc1,training,0
COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,training,1
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,training,0
Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,training,1
CCCCC1C(=O)NN(c2ccccc2)C1=O,training,0
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,training,1
CCN(CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1,training,0
C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,training,1
CCCCCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C,training,1
C[C@@H]1C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@H]3O[C@@H]3/C=C/C(=O)O1)C[C@H](O)[C@H]2C(=O)O,training,1
CCCc1c2oc(C(=O)O)cc(=O)c2cc2c(=O)cc(C(=O)O)n(CC)c12,training,1
O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,training,0
CN/C(=C\[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1,training,0
