smiles,group,Pgp-sub
CCOC(=O)c1c(-c2ccc(Cl)cc2)c(C#N)c(=S)n([C@@H]2O[C@@H](COC(C)=O)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H]2OC(C)=O)c1C,training,0
COc1ccc(-c2c(C(C)=O)c(-c3ccccc3)n([C@H]3O[C@@H](COC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]3OC(C)=O)c(=S)c2C#N)cc1,training,0
Cc1cc(C)n([C@@H]2O[C@@H](CO)[C@H](O)[C@H](O)[C@@H]2O)c(=S)c1C#N,training,0
CC(C)=CCC/C(C)=C/CC/C(C)=C/CO,training,0
COC(=O)[C@@H](N)CS,training,0
COc1ccc(Cc2c(-c3ccc(C)cc3)nnc(O)c2[C@@H]2C(=O)N(c3ccccc3)N=C2c2ccccc2)cc1,training,0
CNCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,training,0
C[C@H]1CN(c2nc(N(CCO)CC(C)(C)O)c3nc(-c4ccccc4)c(N4C[C@H](C)O[C@H](C)C4)nc3n2)C[C@@H](C)O1,training,0
COP(=S)(Oc1cc(Cl)c(Br)cc1Cl)c1ccccc1,training,0
O=P1(N(CCCl)CCCl)NCCCO1,training,0
Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,training,0
CCCCC/C=C\C/C=C\C=C\C=C\[C@@H](SC[C@@H](N=C(O)CC[C@H](N)C(=O)O)C(O)=NCC(=O)O)[C@@H](O)CCCC(=O)O,training,0
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,training,0
CO[C@@H]1C[C@@H](C[C@H]2CC[C@H](C)[C@H]([C@@H](C)C(=O)O)O2)O[C@]2(O[C@@](C)([C@H]3CC[C@@](C)([C@@H]4O[C@@H]([C@H]5O[C@@](O)(CO)[C@H](C)C[C@@H]5C)C[C@@H]4C)O3)C[C@H]2C)[C@@H]1C,training,0
COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cc(OC)c(OC)cc3N=C(O)c3cnc4ccccc4c3)cc1)CC2,training,0
COc1cc([C@H]2c3cc4c(cc3C[C@@H]3COC(=O)[C@H]32)OCO4)cc(OC)c1OC,training,0
N#Cc1cc2c(n([C@H]3O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]3O)c1=S)CCC2,training,0
N#Cc1c(-c2ccco2)c2c(n([C@H]3O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]3O)c1=S)CCCC2,training,0
Cc1cc(C)nc(NS(=O)(=O)c2ccc(NC(=O)COC(=O)c3cccc4c(=O)c5ccccc5[nH]c34)cc2)n1,training,0
Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)nc1O,training,0
CCC1(N=C(O)c2cc(F)c(F)c(F)c2F)C(=O)N(C(C)C)C(=O)N=C1O,training,0
O=C1N=C(O)C(=Cc2cn(Cc3ccccc3)c3ccccc23)C(O)=N1,training,0
Cc1c2c(nn1C(=O)c1nn(-c3ccc(Cl)cc3)cc1O)-c1ccccc1CC2,training,0
COc1ccc(CCn2cnc3cc(N=C(O)CN4CCN(C)CC4)c(Oc4cc(C)cc(C)c4)cc3c2=O)cc1OC,training,0
C=C(C=O)[C@@H]1CC=C(C=O)CC1,training,0
Clc1nc(Cl)c2ncn(CC3(Cn4cnc5c(Cl)nc(Cl)nc54)COC3)c2n1,training,0
O=S(=O)(NC(O)=Nc1ccc(Cl)c(Cl)c1)c1cnccc1Oc1ccc(F)cc1,training,0
O=C(COc1cccc(/C=C2\CSc3ccccc3C2=O)c1)c1ccc(Cl)cc1,training,0
Cc1cc(I)cc(CN(C)CCCN2CCCCCCC2)c1O,training,0
COc1ccc(N=C(O)n2[nH]c(=N)c3ccccc32)cc1OC,training,0
NS(=O)(=O)c1ccc(-n2ncc3c(Nc4ccccc4)ncnc32)cc1,training,0
COC(=O)CCCCC(=O)C1=C(C)/C(=C/c2[nH]c(-c3ccc[nH]3)cc2OC)N=C1C,training,0
CC1=C(/C=C/C(=O)CC(=O)/C=C/C2=C(C)CCCC2(C)C)C(C)(C)CCC1,training,0
O=C(CCN1CCCN(c2cnc3ccccc3n2)CC1)c1csc2ccccc12,training,0
CCOC(=O)c1c2c(n(Cc3ccc(Cl)cc3Cl)c1C)-c1nc(Cc3ccccc3)[nH]c1C(=O)C2=O,training,0
O=C(c1ccco1)c1nc2cc(Cl)ccc2[n+]([O-])c1C(F)(F)F,training,0
O=C(c1ccco1)c1c(C(F)(F)F)[n+]([O-])c2cc(C(F)(F)F)ccc2[n+]1[O-],training,0
N#C/C(=C\c1ccccn1)c1nc2ccccc2o1,training,0
c1cc2c(cn1)Nc1ccncc1S2,training,0
OCCCCC#Cc1ccccc1C#Cc1ccc(O)cc1,training,0
Nc1ccccc1C#C/C=C\C#Cc1c(F)c(F)c(F)c(F)c1F,training,0
Cc1cc(=O)oc2cc(OC/C=C3\CCC(=O)O3)ccc12,training,0
O=C1CC/C(=C/COc2cc(=O)oc3ccccc23)O1,training,0
COc1ccc(-c2nnc(N=C3N=C(O)/C(=C4/C(O)=Nc5ccc(OC(F)(F)F)cc54)S3)o2)cc1,training,0
CCOC(=O)c1sc(=S)c2c(C(=O)OCC)c(C(=O)OCC)sc2c1C(=O)OCC,training,0
O=S(=O)(NC(O)=NC1CCCCC1)c1ccc(N2N=C3c4ccccc4CC3C2c2ccc(Cl)cc2)cc1,training,0
NS(=O)(=O)c1ccc(-n2nc3c(c2-c2ccc(Cl)cc2)Cc2ccccc2-3)cc1,training,0
Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,training,0
COc1cc2c3c(n(CCCN4CCCNCC4)c(=O)c2cc1OC)-c1cc2c(cc1C3=O)OCO2,training,0
COc1ccc(OC)c(N=C(O)c2cccc(NC3=C(Cl)C(=O)N(Cc4ccccc4)C3=O)c2)c1,training,0
CC(=O)c1cc2c(cc1Nc1c3ccccc3nc3occ(Cl)c13)OCO2,training,0
Fc1cccc(Cl)c1Cn1c(-c2c(F)cccc2Cl)nc2ccccc21,training,0
C/C=C/[C@H]1O[C@@H]2C(=C[C@H]1O)C(=O)O[C@H]2C,training,0
CCn1c2ccccc2c2cc(/C=C(/C#N)C(=N)S)ccc21,training,0
N#CC(C#N)=C/C=C(\Sc1nc2ccccc2s1)c1ccc(Cl)cc1,training,0
OC(CSCC(O)=N/N=C/c1cccs1)=N/N=C/c1cccs1,training,0
COc1cc2[nH]c(-c3cccs3)nc(=Nc3cccc([N+](=O)[O-])c3)c2cc1OC,training,0
O=CC1C(Cl)=Nc2nc3ccccc3n2C1c1ccccc1,training,0
O=C1OCC(c2ccc(Cl)cc2)=C1Cl,training,0
C/C(=N/O)c1cccc(N=c2[nH]c3ccccc3c3[nH]c4ccccc4c23)c1,training,0
C=C1c2ccccc2C(=O)c2c1c1c(C(=O)OC)c(O)ccc1n2Cc1ccccc1,training,0
CCn1c2ccc(O)c(C(=O)OC)c2c2cc3ccccc3c(O)c21,training,0
COc1cc(/C=C(\C#N)c2nc3ccccc3o2)ccc1O,training,0
CCOC(=O)C1=C(N)Oc2ccc(Br)cc2C1C(C#N)C(=O)OCC,training,0
CC(C)(O)C1CC[C@]2(C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,training,0
O=C1NC2CCCCC2N=C1CC(=O)c1ccc(Br)cc1,training,0
C/C(=N\Nc1nc2ccccc2s1)c1cccc[n+]1[O-],training,0
c1ccc(C(=NNc2nc3ccccc3[nH]2)c2ccccn2)nc1,training,0
O=C(C=P(c1ccccc1)(c1ccccc1)c1ccccc1)c1cccc(-c2cccc([N+](=O)[O-])c2)c1,training,0
C(=C\CCCN1O[C@@H](CCCCCCCCc2cccnc2)[C@H]2CCC[C@H]21)\CCCCCCCCCc1cccnc1,training,0
Cc1ccc(C2(N3CCCC3)OC(C)(C)c3cccc4cccc2c34)cc1,training,0
O=c1c2cc(S(=O)(=O)O)ccc2nc(COc2ccc(Oc3ccc(Cl)cc3Cl)cc2)n1-c1ccc(Oc2ccc(Cl)cc2)cc1Cl,training,0
[B-][P+](CC[P+]1([B-])[C@@H](C)[C@@H](O)[C@H](O)[C@@H]1C)(c1ccccc1)c1ccccc1OC,training,0
Oc1ccc(O)c(CNc2ccccc2)c1,training,0
O=c1c2c3c(sc2nc(S)n1-c1ccccc1)CCCc1ccc([N+](=O)[O-])cc1-3,training,0
Clc1ccc(COc2ccccc2/C=N/c2c(-c3ccco3)nc3ccccn23)c(Cl)c1,training,0
Clc1ccc(Cn2cc(/C=N/n3cnnc3)c3ccccc32)cc1,training,0
OC(CSc1ncccn1)=N/N=C/c1ccccc1OCc1ccccc1,training,0
CCCCN1CN2C(=O)C(C(=O)OCC)C(=O)c3sc4nc(SC)nc1c4c32,training,0
Cc1cc2[nH]c(Cl)c(/C=C3\C(O)=Nc4ccccc43)c2cc1O,training,0
CC(=O)O[C@@H]1C[C@]2(C(=O)c3ccccc3)C(=O)C(=O)S[C@]12c1ccccc1,training,0
COC1OC(C(=O)CP(=O)(OC)OC)C(OCc2ccccc2)C(OCc2ccccc2)C1OCc1ccccc1,training,0
CCOC(=O)C1(Cc2ccccc2)C=CN(C(=O)c2ccccc2)C=C1,training,0
COc1ccc(/C=C2\C[C@H]3[C@@H]4CCC5=C/C(=N/O)CC[C@]5(C)[C@H]4CC[C@]3(C)\C2=N\O)cc1,training,0
C[C@]12CC[C@H]3[C@@H](CCC4=C[C@@H](O)CC[C@@]43C)[C@@H]1CC(=C\c1ccncc1)/C2=N\O,training,0
CN1CCCC(OC(=O)c2cc3cc(CCl)ccc3oc2=O)C1,training,0
Oc1ccccc1/C=N/c1ccc(-c2nc3ccccc3s2)cc1,training,0
OC(CC(c1ccccc1)c1ccc(Cl)cc1)c1ccc(Cl)cc1,training,0
CC(C)(C)SC1=CCC[C@@H](P(=O)(c2ccccc2)c2ccccc2)[C@@H]2CCC[C@@H]12,training,0
CN(CCCN=C(O)c1nn(-c2ccccc2)c2c1ccc1ccccc12)CCCN=C(O)c1nn(-c2ccccc2)c2c1ccc1ccccc12,training,0
O=c1c2cc(I)ccc2nc(Sc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])n1Cc1ccccc1,training,0
COC(=O)[C@]12CC[C@H]3CN(S(=O)(=O)c4ccc(C)cc4)[C@H]([C@H]31)[C@H](c1ccco1)N2S(=O)(=O)c1ccc(C)cc1,training,0
COC1=CC(=O)C2=C(C1=O)[C@H]1CC[C@]3(C)C(=O)CC[C@H]3[C@@H]1CC2,training,0
Clc1ccc(Cc2nc3cc(Cl)ccc3o2)cc1,training,0
O=[N+]([O-])c1cc2nc(O)[nH]c2c([N+](=O)[O-])c1N(CCO)CCO,training,0
CCOC(=O)C(N=C(O)N(C1=NCC(C)S1)C1CCCCC1)(OC)C(F)(F)F,training,0
O=C1CS(=O)(=O)C(c2cccc(Oc3ccccc3)c2)N1c1ccc(Cl)cc1,training,0
COc1ccccc1N1C(=O)CSC1c1cccc(Oc2ccccc2)c1,training,0
O=C(c1ccco1)N(C(=S)OC12CC3CC(CC(C3)C1)C2)c1ccccc1,training,0
CC(=O)OC(CN1CCN(c2ccccn2)CC1)Cn1sc2nc(C)cc(C)c2c1=O,training,0
COc1ccc(/C=C2\CC3C4CC=C5C[C@@H](O)CC[C@]5(C)C4CC[C@]3(C)C2=O)cc1OC,training,0
Cc1c2c(c(C)n1-c1ccccc1)C(=O)N(CCSC(=N)N)C2=O,training,0
O=C(CCC=C(S(=O)(=O)c1ccccc1)S(=O)(=O)c1ccccc1)c1ccccc1,training,0
Cc1nnc2n1N=C(c1cc(F)c(Cl)cc1Cl)/C(=C/c1ccc3c(c1)OCO3)S2,training,0
COC(=O)[C@]12CCC(C)(C)C[C@H]1[C@H]1C(=O)C=C3[C@@](C)(CC[C@H]4C(C)(C)C(=O)C(C#N)=C[C@]34C)[C@]1(C)CC2,training,0
COc1ccc(/C=C2/C(=N)Nc3ccccc3N(C3OC(COC(C)=O)C(OC(C)=O)C(OC(C)=O)C3OC(C)=O)C2=O)cc1,training,0
O=C(c1cc2c(c3ccccc13)NC1(CCCCC1)N=C2C(F)(F)F)C(F)(F)F,training,0
OC1=Nc2ccccc2/C1=C\c1c(Cl)n(-c2ccccc2)c2ccccc12,training,0
C=C(C)C1(Sc2ccc(OC)cc2)CC1,training,0
CN(C)C=C1C(=O)c2c(Br)sc(Br)c2C1=O,training,0
COc1cc(OCc2nc3ccccc3n3cccc23)cc(OC)c1OC,training,0
O=S(=O)(c1ccc(Cl)cc1)c1ccsc1N=C(O)c1ccc(F)cc1F,training,0
Clc1ccc(C2=NN=C3C(c4ccccc4)=Nc4ccccc4N3C2)cc1,training,0
C=C1c2nc3ccccc3n2C=C(c2ccc(OC)cc2)N1c1ccc(OCCN2CCOCC2)cc1,training,0
CN1CSC(=S)N(c2c3ccccc3nc3ccc(Br)cc23)C1,training,0
CCOC(=O)N(C)CCC1CC=CC(=O)C1c1cccc(OC)c1OC,training,0
COc1ccc2c(c1)C(=O)C(=O)c1cc(O)c(OC)c(OC)c1-2,training,0
CC1(COS(=O)(=O)OCC2(C)COS(=O)(=O)OC2)COS(=O)(=O)OC1,training,0
COC(C)(C)OCCN1CCN(CCN2C3=C(C=C(C(C)=O)C3)Sc3ccccc32)CC1,training,0
Cc1c(S(=O)(=O)NC(=NN)Nc2ccc(Cl)cc2)sc2ccc(Cl)cc12,training,0
Cc1[nH]c2ncn(Nc3ccccc3)c(=N)c2c1Cc1ccccc1,training,0
Brc1ccc2[nH]cc(-c3csc(-c4c[nH]c5ccc(Br)cc45)n3)c2c1,training,0
COC(=O)C1=C(O)C(C(=O)OC)[C@]2(O)[C@H](C(=O)OC)[C@H]1C[C@@H](c1ccccc1OC)[C@H]2C(=O)OC,training,0
COc1ccc(CCCCNCc2cccc(CNCCCCc3ccc(OC)cc3)c2)cc1,training,0
Nc1nnc2oc3ccc4ccccc4c3cc1-2,training,0
O=c1oc2ccccc2cc1-c1cn2ccccc2n1,training,0
O=[N+]([O-])C1=Cc2c(O)ccc(O)c2C2OC=CC12,training,0
C=CCc1[nH]c2c(OCc3ccccc3)cc(N(CC=C)C(C)=O)cc2c1C,training,0
C=CCN(C(C)=O)c1cc(OCc2ccccc2)c2c(c1)c(C)cn2S(=O)(=O)c1ccccc1,training,0
Cc1ccc(/N=C2\C(=O)C3=C(OC(C)(C)CC3)c3ccccc32)cc1,training,0
C/C=C1/CN2CCc3c([nH]c4ccccc34)[C@@H]2C[C@@H]1Cc1nccc2c1[nH]c1cc(O)ccc12,training,0
COc1cc(/C=C/c2cc(/C=C/c3ccc(O)c(OC)c3)oc(=O)c2)ccc1O,training,0
Cc1nc2ccc(N=Nc3c(C)noc3C)cc2[nH]1,training,0
CCOC(=O)c1cn2c(n1)sc1cc(C)c(C)cc12,training,0
CC1=C2C(=O)OCC23C=COC3(C)O1,training,0
NS(=O)(=O)c1ccc(NC(S)=NC(O)=Nc2ccc(Cl)c(Cl)c2)cc1,training,0
Brc1cc(CCOC2CCCCO2)c(-c2sccc2CCOC2CCCCO2)s1,training,0
COc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)/C(=C/c3ccncc3)C[C@@H]12,training,0
Cc1ccc(-c2cs/c(=N\c3ccccc3)n2NC(=O)c2ccncc2)cc1,training,0
COc1ccc2o/c(=N/c3ccccc3)c(C(=N)O)cc2c1,training,0
CN(C)CCOc1ccc2[nH]c(C(=O)N3CC(CCl)c4ccc(N)cc43)cc2c1,training,0
O=C(O/C=C\OC1CCCC1(c1ccccc1)c1ccccc1)c1ccccc1,training,0
COc1ccc2c(-c3ccc(OCCN(C)C)cc3)c(Oc3ccc(Cl)cc3)c(=O)oc2c1,training,0
CCCC[C@@H](C)/C=C1\CN2CCC[C@H]2[C@@](C)(O)[C@@H]1O,training,0
COc1cc2c(cc1OCCCN1C(=O)c3cccc4cccc(c34)C1=O)N=C[C@@H]1CCCN1C2=O,training,0
COc1cc2c(c(OC)c1)C(=O)O[C@H](C)CCCC/C=C/C2,training,0
O=[N+]([O-])/C(C(Cl)=C(Cl)Cl)=C(\N1CCCCC1)n1cncn1,training,0
O=[N+]([O-])C(=C(Nc1cccc2cccnc12)Nc1cccc2cccnc12)C(Cl)=C(Cl)Cl,training,0
C[C@@H](c1ccccc1)C(CC#N)[C@H]1CCC[C@]1(O)C#Cc1ccc2c(c1)OCO2,training,0
O=C(Nc1ccc2[nH]c(C(=O)N3CC(CCl)c4c3cc([N+](=O)[O-])c3ccccc43)cc2c1)c1cc2ccccc2o1,training,0
O=C1C=C/C(=C/[C@H]2SSC=C[C@]23C=CC(=O)C3)C1,training,0
O=C(COc1ccc(OCC(=O)N2C(=O)CN(c3ccccc3)C2=S)cc1)N1C(=O)CN(c2ccccc2)C1=S,training,0
N#CC(C#N)[C@@H]1CCC=C(Sc2ccccc2)[C@H]1Sc1ccccc1,training,0
N#CC1(C#N)[C@H]2C(Sc3ccccc3)=CCC[C@H]21,training,0
O=C(O)CN1CCNCCN(CC(=O)O)CC1,training,0
Cc1ccc(S[C@@](C=O)(N=C(O)OCc2ccccc2)C(F)(F)F)cc1,training,0
O=C1C(F)=CC(COC(c2ccccc2)(c2ccccc2)c2ccccc2)OC1n1cc(F)c(O)nc1=O,training,0
CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CCC4=C5C[C@H](O)[C@H](O)[C@@](C)(CO)[C@@]5(C)CC[C@]43C)[C@@H]2C1,training,0
COc1ccc(CN(Cc2ccc(OC)cc2)C(=O)CC2(O)C=CCC2)cc1,training,0
Cc1[nH]c(-c2ccccc2)c(O)c1C(=O)OC12CC3CC(CC(C3)C1)C2,training,0
CCCC(O)=Nc1cc(/C=C/C(=O)N2CC(CCl)c3c2cc(OCc2ccccc2)c2[nH]cc(C)c32)n(C)c1,training,0
CC(=N/N=C(S)N1CCCCC1)/C(C)=N\N=C(S)N1CCCCC1,training,0
COc1ccc(C(=C2C=CC=C2)c2ccc(OC)cc2)cc1,training,0
CCOC(=O)C1=C(C)C2C=C(c3cccs3)CC(c3ccc(Cl)cc3)=C2OC1=O,training,0
CC(=C(C(=O)O)C(=O)O)c1cc(-c2cccs2)cc(-c2ccc(Cl)cc2)c1O,training,0
OC1COC(n2c3ccc(Br)cc3c3ccc4c5ccccc5[nH]c4c32)C(O)C1O,training,0
Cc1cccc2c1C(=O)[C@](C)([C@]1(C)Nc3cccc(C)c3C1=O)N2,training,0
O=[N+]([O-])c1ccc(NC(O)=N/N=C\c2ccc3ccccc3c2)cc1,training,0
Cc1ccc2c(c1)C(=O)/C(=C\c1ccc(Cl)cc1)CCS2(=O)=O,training,0
COC(=O)n1c(=O)nc2c3c(ncn21)Oc1c(c(-c2ccccc2)nn1-c1ccccc1)C3c1ccc(Cl)cc1,training,0
CC1=CCC[C@@H]2[C@@](C)(Cc3cc(O)ccc3O)[C@H](C)CC[C@@]12C,training,0
CCSC1=NC(=Cc2ccccc2O)C(O)=N1,training,0
COc1cc2c(c(OC)c1OC)=NC(=C(O)N1CC(CCl)c3ccc([N+](C)(C)Cc4ccc([N+](=O)[O-])cc4)cc31)C=2,training,0
CC(=O)Oc1c(C)c2c(c3ncccc13)OC(C)C2,training,0
N#CC1=C(C#N)/C(=C(\C#N)C(C#N)C#N)NC1=N,training,0
O=C1C2NC3CCCCC3C3CCNC(C4NCSC14)C23,training,0
CC(C)C1CCC(=O)CC1CCCCC1CC(=O)CC1O[Si](C)(C)C(C)(C)C,training,0
N#C[C@@]12CCCC(=O)[C@@H]1[C@H]1CCC[C@H]12,training,0
COc1ccc2c(c1)-c1[nH]c3ccccc3c1CC2,training,0
COc1ccc(C2CC(c3c(C)nn(-c4ccccc4)c3-c3ccc(C)cc3O)=NN2c2ccccc2)cc1,training,0
COc1cccc(N=c2[nH]c(=N)[nH]c(N)c2N=O)c1,training,0
C[C@]12CC[C@@H]3c4ccc(OC(=O)c5ccccc5)cc4CC[C@H]3[C@@H]1CCC2OC(=O)c1cccc2c(=O)c3ccccc3[nH]c12,training,0
C=C1[C@H](OCC(C)C)[C@@H](O)[C@@H](OC(=O)c2cccnc2)C(C)(C)/C=C/[C@H](C)[C@H](OC(C)=O)[C@@]2(O)C[C@@](C)(OC(C)=O)[C@H](OC(=O)c3ccccc3)[C@@H]2[C@H]1OC(C)=O,training,0
C=CC(=O)N1C/C(=C\c2ccc(OC)cc2)C(=O)/C(=C/c2ccc(OC)cc2)C1,training,0
C=C1c2nc3ccccc3n2C=C(c2ccc(C)cc2)N1c1ccc(C)cc1,training,0
O=C1OC2(CCCCC2)OC(=O)C1C(O)=Nc1ccc(Cl)cc1Cl,training,0
CCN(CC)CC(O)=Nc1c(C(N)=O)nnn1Cc1cc(Cl)c(C(=O)c2ccc(Cl)cc2)c(Cl)c1,training,0
Cc1c(-c2ccccc2)c(-c2ccc(OCCN(C)C)cc2)n2ccccc12,training,0
CCOC(=O)CCC(NC(=O)c1ccc(Nc2nc3ccccc3nc2-c2cccs2)cc1)C(=O)OCC,training,0
Nc1ccc(S(=O)(=O)N=c2[nH]c3ccccc3nc2N2CCCCCC2)cc1,training,0
Nc1cccc(OCC2CCCN3CCCCC23)c1,training,0
CCOC(=O)C(=CNc1ccc(NC2=NCC(C)S2)cc1)C(=O)OCC,training,0
COc1cc(C=CC(O)=C2C(=O)[O+]=NN2c2ccccc2)ccc1O,training,0
O=[N+]([O-])C(F)(CN(COCN(CC(F)([N+](=O)[O-])[N+](=O)[O-])CC(F)([N+](=O)[O-])[N+](=O)[O-])CC(F)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],training,0
CC1(c2nc3cc(Cl)c(Cl)cc3[nH]2)CCC(CO)C(C)(C)O1,training,0
OCC1OC(n2cnc3c(Cl)[nH]c(=Nc4ccc(Cl)c(Cl)c4)nc32)CC1O,training,0
CC(=O)c1cc2c(s1)C(=O)c1ccsc1C2=O,training,0
N#Cc1ccc(Oc2nc3ccc(C(F)(F)F)cc3nc2-c2ccccc2)cc1,training,0
Cc1ccccc1N1C(N)=C(C#N)C(C#N)(C#N)C1c1ccccc1,training,0
COc1cc([C@@H]2c3cc4c(cc3[C@@H](Nc3ccccc3C(=O)c3ccccc3)[C@H]3COC(=O)[C@@H]32)OCO4)cc(OC)c1OC,training,0
C=C1CC2[C@H](C)C(=O)CCC2(C)C2=C1C1CCC(C(C)CCC(=C)C(C)C(=O)O)C1(C)CC2=O,training,0
Brc1c2c(c(Br)c3nsnc13)NSN2,training,0
CC(=O)Oc1c(-c2ccccc2)oc2ccccc12,training,0
CC1=C(C2=C(C)C(=O)C(=O)c3cc(C)ccc32)c2ccc(C)cc2C(=O)C1=O,training,0
N[C@@H]1c2c(Br)sc(Br)c2C(=O)[C@H]1Br,training,0
CCOC(=O)C(SCCO)C(C(=O)OCC)n1ccc(O)nc1=O,training,0
OC1=Nc2ccccc2-c2nc3ccccc3cc2C1,training,0
C=C1C(=O)O[C@@H]2[C@H]1C[C@@H]1O[C@H]2[C@H](C)CCC[C@@H](C)[C@@H]2CC[C@@]1(C)O2,training,0
COc1cc(CCNC2=CC(=O)c3cccnc3C2=O)ccc1O,training,0
Oc1cc(NNc2cccc3ccccc23)nc(O)n1,training,0
Cn1c2ccccc2c(=NNc2ccc(S(N)(=O)=O)cc2)c2ccccc21,training,0
[N-]=[N+]=Nc1ccc2c(c1)Sc1ccccc1N2CCCCN1CCN(Cc2ccc(C(=O)c3ccccc3)cc2)CC1,training,0
