smiles,group,CYP1A2-sub
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C4=O,training,1
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,training,1
C#CCN[C@@H]1CCc2ccccc21,training,1
CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,training,1
C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,training,1
NC(=O)c1cnccn1,training,1
CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,training,1
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,training,1
COc1cc(NC(C)CCCN)c2ncccc2c1,training,1
O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,training,1
Cc1ccc(=O)n(-c2ccccc2)c1,training,1
O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,training,1
Cc1cc(=O)n(-c2ccccc2)n1C,training,1
COc1ccnc(CS(=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC,training,1
O=C1O[Pt]2([N+][C@@H]3CCCC[C@H]3[N+]2)OC1=O,training,1
COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1,training,1
Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,training,1
CNCCC=C1c2ccccc2CCc2ccccc21,training,1
CN1CCC[C@H]1c1cccnc1,training,1
CN1CCN2c3ccccc3Cc3ccccc3C2C1,training,1
CC1=CC(=O)c2ccccc2C1=O,training,1
COc1ccc2[nH]cc(CCNC(C)=O)c2c1,training,1
CNCCCC12CCC(c3ccccc31)c1ccccc12,training,1
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,training,1
CCCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,training,1
CC(C)Cn1cnc2c(N)nc3ccccc3c21,training,1
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,training,1
COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O,training,1
CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,training,1
COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,training,1
CN1[C@H]2CCC[C@@H]1CC(NC(=O)c1nn(C)c3ccccc13)C2,training,1
CN[C@@H]1CCc2[nH]c3ccc(C(N)=O)cc3c2C1,training,1
CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,training,1
O=c1[nH]cc(F)c(=O)[nH]1,training,1
Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1,training,1
O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,training,1
COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,training,1
CCO,training,1
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,training,1
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,training,1
CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,training,1
CN(C)CCC=C1c2ccccc2COc2ccccc21,training,1
CCN(CC)C(=S)SSC(=S)N(CC)CC,training,1
CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O,training,1
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,training,1
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,training,1
CN(C)N=Nc1[nH]cnc1C(N)=O,training,1
CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,training,1
COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1,training,1
COc1cc(N)c(Cl)cc1C(=O)N[C@@H]1CCN(CCCOc2ccc(F)cc2)C[C@@H]1OC,training,1
COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,training,1
O=NN(CCCl)C(=O)NCCCl,training,1
NC(=O)N1c2ccccc2C=Cc2ccccc21,training,1
CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,training,1
O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,training,1
CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,training,1
CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,training,1
C[C@@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,training,1
O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1,training,1
CN(C)CCC=C1c2ccccc2CCc2ccccc21,training,1
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,training,1
Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,training,1
CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,training,1
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,training,1
Clc1cccc(Cl)c1NC1=NCCN1,training,1
CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,training,1
N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,training,1
CC(c1cc2ccccc2s1)N(O)C(N)=O,training,1
CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,training,1
CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3,training,1
C[C@@H](NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,training,1
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,training,1
COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1O,training,1
Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,training,1
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],training,1
O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,training,1
Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,training,1
Cn1c(=O)c2[n-]cnc2n(C)c1=O,training,1
CN(C)S(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(CCO)CC1)c1ccccc1S2,training,1
Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,training,1
C[C@H]1CNCCc2ccc(Cl)cc21,training,1
CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,training,1
CCCN(CCc1cccs1)[C@H]1CCc2c(O)cccc2C1,training,1
CC1=NN(c2ccc(C)c(C)c2)C(=O)/C1=N\Nc1cccc(-c2cccc(C(=O)O)c2)c1O,training,1
CN1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1,training,1
Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,training,1
Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21,training,1
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,training,1
CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,training,0
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,training,0
C=C(C)[C@@H]1CC[C@@]2(C)O[C@H]2C1,training,0
CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)N/C=C/S,training,0
CCCOc1ccc(S(=O)(=O)NCCC2CCCN2C)cc1-c1nc(=O)c2c([nH]1)c(CCC)nn2C,training,0
C=C[C@H](N)C(=O)O,training,0
CC(=O)OC[C@@H]1CS[C@H]2[C@H](NC(=O)CCCC[C@@H](NC(=O)C[N+])C(=O)[O-])C(=O)N2[C@H]1C(=O)[O-],training,0
CCCCCCCCCCS,training,0
CC(C)N1CCC(NC(=O)c2cc3ccccc3n2CC(=O)Nc2ccc(Cl)cc2)CC1,training,0
N[C@@H](CP(=O)(O)O)C(=O)O,training,0
COc1c(C(=O)NC2CCN3CCCC2C3)ccc(N)c1Cl,training,0
Cc1cnc(NCC(F)(F)c2ccccn2)c(=O)n1CC(=O)NCc1ncccc1F,training,0
NS(=O)(=O)c1cc(C(=O)O)cc(N2CCCC2)c1Oc1ccccc1,training,0
COCCNS(=O)(=O)c1ccc(Nc2nccc(-c3cnc(C)n3C(C)C)n2)cc1,training,0
COc1cc(C2c3cc4c(cc3C(O)C(CO)C2C(=O)O)OCO4)cc(OC)c1OC,training,0
O=c1[nH]cnc2sc3c(c12)CCCC3,training,0
Cc1cc(O)c(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)cn1,training,0
CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@]12C,training,1
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,training,1
O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,training,1
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,training,1
C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,training,1
O=c1[nH]c2cc(Cl)ccc2o1,training,1
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,training,1
CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,training,1
COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,training,1
CCOc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,training,1
COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,training,1
CN=C(O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)[nH]nc2c1,training,1
Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,training,1
c1cc(Nc2cc(C3CC3)n[nH]2)nc(Nc2ccc3[nH]cnc3c2)n1,training,0
C=C(O)C1=C(C)C2=Cc3c(C)c(CCC(=O)O)c4n3[Fe@]35n6c(c(C)c(C(C)=O)c6=CC6=[N+]3C(=C4)C(CCC(=O)O)=C6C)=CC1=[N+]25,training,0
Cn1c(=O)ccc2ccccc21,training,0
CN[C@H]1[C@@H](O)[C@@H](NC)[C@H](O)[C@H]2O[C@@H]3O[C@H](C)CC(=O)[C@]3(O)O[C@H]12,training,0
O=c1[nH]c(=O)n(COCCO)c(O)c1Cc1cccc(OCc2ccccc2)c1,training,0
