smiles,malaria,group
CC(C)(O)C#Cc1ccc([C@H]2[C@@H](CO)N3CCCCN(C(=O)c4ccc(F)cc4)C[C@@H]23)cc1,0,val
CC(C)(O)C#Cc1cccc(-c2nc(C(=O)N[C@@H]3CCN(Cc4ccccc4)C3)cc3c2[C@H](CCO)N(S(=O)C(C)(C)C)C3)c1,1,test
CC(C)(O)C#Cc1cccc(-c2nc(C(=O)N[C@@H]3CCN(Cc4ccccc4)C3)cc3c2[C@@H](CCO)N(S(=O)C(C)(C)C)C3)c1,0,training
CC(C)C#Cc1ccc([C@@H]2[C@@H](CO)N3C(=O)CN(C(=O)C4CCCCC4)C[C@H]23)cc1,0,training
CC(C)C#Cc1ccc([C@H]2[C@@H](CO)N3C(=O)CN(C(=O)C4CCCCC4)C[C@@H]23)cc1,0,training
CC(C)C#Cc1ccc([C@H]2[C@H]3CN(C(=O)C4CCCCC4)CC(=O)N3[C@H]2CO)cc1,0,training
CC(C)C#Cc1ccc([C@H]2[C@@H](CO)N3C(=O)CN(C(=O)C4CCCCC4)C[C@H]23)cc1,0,training
CC(C)C#Cc1ccc([C@@H]2[C@@H](CO)N3C(=O)CN(C(=O)C4CCCCC4)C[C@@H]23)cc1,1,val
CC(C)C#Cc1ccc([C@H]2[C@H](CO)N3C(=O)CN(C(=O)C4CCCCC4)C[C@@H]23)cc1,0,training
CC(C)C#Cc1ccc([C@@H]2[C@H](CO)N3C(=O)CN(C(=O)C4CCCCC4)C[C@@H]23)cc1,0,val
CC(C)C#Cc1ccc([C@@H]2[C@H]3CN(C(=O)C4CCCCC4)CC(=O)N3[C@H]2CO)cc1,0,test
CC(C)C#Cc1ccc([C@@H]2[C@H]3CN(C(=O)c4ccc5c(c4)OCO5)CCCCN3[C@H]2CO)cc1,0,training
CC(C)C#Cc1ccc([C@@H]2[C@H](CO)N3CCCCN(C(=O)c4ccc5c(c4)OCO5)C[C@@H]23)cc1,1,training
CC(C)C#Cc1ccc([C@H]2[C@@H](CO)N3CCCCN(C(=O)c4ccc5c(c4)OCO5)C[C@@H]23)cc1,0,training
CC(C)C#Cc1ccc([C@@H]2[C@@H](CO)N3CCCCN(C(=O)c4ccc5c(c4)OCO5)C[C@@H]23)cc1,0,test
CC(C)C#Cc1ccc([C@H]2[C@H](CO)N3CCCCN(C(=O)c4ccc5c(c4)OCO5)C[C@@H]23)cc1,0,training
CC(C)C#Cc1ccc([C@@H]2[C@@H](CO)N3CCCCN(C(=O)c4ccc5c(c4)OCO5)C[C@H]23)cc1,0,training
CC(C)C#Cc1ccc([C@H]2[C@@H](CO)N3CCCCN(C(=O)c4ccc5c(c4)OCO5)C[C@H]23)cc1,0,training
CC(C)C#Cc1ccc([C@H]2[C@H]3CN(C(=O)c4ccc5c(c4)OCO5)CCCCN3[C@H]2CO)cc1,0,val
CC(C)C#Cc1ccc2c(c1)O[C@@H](CN(C)C(=O)C1CCCCC1)[C@H](C)CN([C@@H](C)CO)S2(=O)=O,1,val
CC(C)C#Cc1ccc2c(c1)O[C@@H](CN(C)C(=O)C1CCCCC1)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O,0,training
CC(C)C#Cc1ccc2c(c1)O[C@H](CN(C)C(=O)C1CCCCC1)[C@H](C)CN([C@@H](C)CO)S2(=O)=O,0,val
CC(C)C#Cc1ccc2c(c1)O[C@H](CN(C)C(=O)C1CCCCC1)[C@H](C)CN([C@H](C)CO)S2(=O)=O,0,training
CC(C)C#Cc1ccc2c(c1)O[C@H](CN(C)C(=O)C1CCCCC1)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O,0,training
CC(C)C#Cc1ccc2c(c1)O[C@H](CN(C)C(=O)C1CCCCC1)[C@@H](C)CN([C@H](C)CO)S2(=O)=O,0,training
CC(C)C#Cc1ccc2c(c1)O[C@@H](CN(C)C(=O)C1CCCCC1)[C@H](C)CN([C@H](C)CO)S2(=O)=O,1,training
CC(C)C#Cc1ccc2c(c1)O[C@@H](CN(C)C(=O)C1CCCCC1)[C@@H](C)CN([C@H](C)CO)S2(=O)=O,0,training
CC(C)CC#Cc1ccc([C@@H]2[C@@H](CO)N3C(=O)CN(C(=O)Cc4ccccc4)C[C@@H]23)cc1,0,training
CC(C)CC#Cc1ccc([C@@H]2[C@@H](CO)N3C(=O)CN(C(=O)Cc4ccccc4)C[C@H]23)cc1,0,training
CC(C)CC#Cc1ccc([C@@H]2[C@H](CO)N3C(=O)CN(C(=O)Cc4ccccc4)C[C@@H]23)cc1,0,test
CC(C)CC#Cc1ccc([C@H]2[C@H](CO)N3C(=O)CN(C(=O)Cc4ccccc4)C[C@@H]23)cc1,0,training
CC(C)CC#Cc1ccc([C@H]2[C@H]3CN(C(=O)Cc4ccccc4)CC(=O)N3[C@H]2CO)cc1,0,test
CC(C)CC#Cc1ccc([C@@H]2[C@H]3CN(C(=O)Cc4ccccc4)CC(=O)N3[C@H]2CO)cc1,0,training
CC(C)CC#Cc1ccc([C@H]2[C@@H](CO)N3C(=O)CN(C(=O)Cc4ccccc4)C[C@@H]23)cc1,0,training
CC(C)CC#Cc1ccc([C@H]2[C@@H](CO)N3C(=O)CN(C(=O)Cc4ccccc4)C[C@H]23)cc1,1,training
CC(C)CC#Cc1ccc([C@@H]2[C@H](CO)N3CCCCN(S(=O)(=O)Cc4ccccc4)C[C@@H]23)cc1,1,training
CC(C)CC#Cc1ccc([C@@H]2[C@@H](CO)N3CCCCN(S(=O)(=O)Cc4ccccc4)C[C@@H]23)cc1,1,training
CC(C)CC#Cc1ccc([C@H]2[C@@H](CO)N3CCCCN(S(=O)(=O)Cc4ccccc4)C[C@H]23)cc1,0,training
CC(C)CC#Cc1ccc([C@@H]2[C@H]3CN(S(=O)(=O)Cc4ccccc4)CCCCN3[C@H]2CO)cc1,0,training
CC(C)CC#Cc1ccc2c(c1)O[C@H](CN(C)C(=O)Cc1ccncc1)[C@H](C)CN([C@H](C)CO)S2(=O)=O,0,test
CC(C)CC#Cc1ccc2c(c1)O[C@H](CN(C)C(=O)Cc1ccncc1)[C@@H](C)CN([C@H](C)CO)S2(=O)=O,0,training
CC(C)CC#Cc1ccc2c(c1)O[C@@H](CN(C)C(=O)Cc1ccncc1)[C@H](C)CN([C@H](C)CO)S2(=O)=O,0,training
CC(C)CC#Cc1ccc2c(c1)O[C@@H](CN(C)C(=O)Cc1ccncc1)[C@H](C)CN([C@@H](C)CO)S2(=O)=O,1,training
CC(C)CC#Cc1ccc2c(c1)O[C@H](CN(C)C(=O)Cc1ccncc1)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O,0,training
CC(C)CC#Cc1ccc2c(c1)O[C@H](CN(C)C(=O)Cc1ccncc1)[C@H](C)CN([C@@H](C)CO)S2(=O)=O,0,training
CC(C)CC#Cc1ccc2c(c1)O[C@H](CN(C)C(=O)c1ccccc1F)[C@@H](C)CN([C@H](C)CO)S2(=O)=O,1,val
CC(C)CC#Cc1ccc2c(c1)O[C@@H](CN(C)C(=O)c1ccccc1F)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O,0,training
CC(C)CC#Cc1ccc2c(c1)O[C@@H](CN(C)C(=O)c1ccccc1F)[C@H](C)CN([C@H](C)CO)S2(=O)=O,0,training
CC(C)CC#Cc1ccc2c(c1)O[C@H](CN(C)C(=O)c1ccccc1F)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O,0,test
CC(C)CC#Cc1ccc2c(c1)O[C@@H](CN(C)C(=O)c1ccccc1F)[C@@H](C)CN([C@H](C)CO)S2(=O)=O,0,test
CC(C)CC#Cc1ccc2c(c1)O[C@H](CN(C)C(=O)c1ccccc1F)[C@H](C)CN([C@H](C)CO)S2(=O)=O,0,training
CC(C)CC#Cc1ccc2c(c1)O[C@@H](CN(C)C(=O)c1ccccc1F)[C@H](C)CN([C@@H](C)CO)S2(=O)=O,1,training
CC(C)CC#Cc1ccc2c(c1)O[C@H](CN(C)C(=O)c1ccccc1F)[C@H](C)CN([C@@H](C)CO)S2(=O)=O,0,test
CC(C)CC#Cc1ccc2c(c1)O[C@H](CN(C)Cc1ccc3c(c1)OCO3)[C@H](C)CN([C@H](C)CO)S2(=O)=O,0,training
CC(C)CC#Cc1ccc2c(c1)O[C@@H](CN(C)Cc1ccc3c(c1)OCO3)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O,0,training
CC(C)CC#Cc1ccc2c(c1)O[C@H](CN(C)Cc1ccc3c(c1)OCO3)[C@H](C)CN([C@@H](C)CO)S2(=O)=O,0,training
CC(C)CC#Cc1ccc2c(c1)O[C@@H](CN(C)Cc1ccc3c(c1)OCO3)[C@H](C)CN([C@@H](C)CO)S2(=O)=O,1,test
CC(C)CC#Cc1ccc2c(c1)O[C@H](CN(C)Cc1ccc3c(c1)OCO3)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O,0,test
CC(C)CC#Cc1ccc2c(c1)O[C@@H](CN(C)Cc1ccc3c(c1)OCO3)[C@H](C)CN([C@H](C)CO)S2(=O)=O,0,training
CC(C)CC#Cc1ccc2c(c1)O[C@H](CN(C)Cc1ccc3c(c1)OCO3)[C@@H](C)CN([C@H](C)CO)S2(=O)=O,0,training
CC(C)CC#Cc1ccc2c(c1)O[C@@H](CN(C)Cc1ccc3c(c1)OCO3)[C@@H](C)CN([C@H](C)CO)S2(=O)=O,0,training
CC(C)CC#Cc1ccc2c(c1)O[C@@H](CN(C)Cc1cccc(F)c1)[C@H](C)CN([C@@H](C)CO)S2(=O)=O,1,training
CC(C)CC#Cc1ccc2c(c1)O[C@@H](CN(C)Cc1cccc(F)c1)[C@H](C)CN([C@H](C)CO)S2(=O)=O,1,training
CC(C)CC#Cc1ccc2c(c1)O[C@@H](CN(C)Cc1cccc(F)c1)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O,0,training
CC(C)CC#Cc1ccc2c(c1)O[C@H](CN(C)Cc1cccc(F)c1)[C@@H](C)CN([C@H](C)CO)S2(=O)=O,0,training
CC(C)CC#Cc1ccc2c(c1)O[C@H](CN(C)Cc1cccc(F)c1)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O,0,training
CC(C)CC#Cc1ccc2c(c1)O[C@H](CN(C)Cc1cccc(F)c1)[C@H](C)CN([C@H](C)CO)S2(=O)=O,0,training
CC(C)CC#Cc1ccc2c(c1)O[C@H](CN(C)Cc1cccc(F)c1)[C@H](C)CN([C@@H](C)CO)S2(=O)=O,0,training
CC(C)CC#Cc1ccc2c(c1)O[C@@H](CN(C)Cc1cccc(F)c1)[C@@H](C)CN([C@H](C)CO)S2(=O)=O,0,training
CC(C)CC#Cc1ccc2c(c1)O[C@H](CN(C)Cc1ccccc1F)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O,1,val
CC(C)CC#Cc1ccc2c(c1)O[C@@H](CN(C)Cc1ccccc1F)[C@H](C)CN([C@@H](C)CO)S2(=O)=O,0,training
CC(C)CC#Cc1ccc2c(c1)O[C@H](CN(C)Cc1ccccc1F)[C@@H](C)CN([C@H](C)CO)S2(=O)=O,0,training
CC(C)CC#Cc1ccc2c(c1)O[C@@H](CN(C)Cc1ccccc1F)[C@@H](C)CN([C@H](C)CO)S2(=O)=O,0,training
CC(C)CC#Cc1ccc2c(c1)O[C@H](CN(C)Cc1ccccc1F)[C@H](C)CN([C@@H](C)CO)S2(=O)=O,0,training
CC(C)CC#Cc1ccc2c(c1)O[C@H](CN(C)Cc1ccccc1F)[C@H](C)CN([C@H](C)CO)S2(=O)=O,0,training
CC(C)CC#Cc1ccc2c(c1)O[C@@H](CN(C)Cc1ccccc1F)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O,0,training
CC(C)CC#Cc1ccc2c(c1)O[C@@H](CN(C)Cc1ccccc1F)[C@H](C)CN([C@H](C)CO)S2(=O)=O,0,training
CC(C)CC#Cc1cnc2c(c1)C(=O)N([C@H](C)CO)C[C@@H](C)[C@H](CN(C)C(=O)Nc1cc(F)ccc1F)O2,1,training
CC(C)CC#Cc1cnc2c(c1)C(=O)N([C@@H](C)CO)C[C@H](C)[C@H](CN(C)C(=O)Nc1cc(F)ccc1F)O2,0,training
CC(C)CC#Cc1cnc2c(c1)C(=O)N([C@H](C)CO)C[C@@H](C)[C@@H](CN(C)C(=O)Nc1cc(F)ccc1F)O2,0,training
CC(C)CC#Cc1cnc2c(c1)C(=O)N([C@@H](C)CO)C[C@@H](C)[C@@H](CN(C)C(=O)Nc1cc(F)ccc1F)O2,0,training
CC(C)CC#Cc1cnc2c(c1)C(=O)N([C@H](C)CO)C[C@H](C)[C@H](CN(C)C(=O)Nc1cc(F)ccc1F)O2,0,training
CC(C)CC#Cc1cnc2c(c1)C(=O)N([C@H](C)CO)C[C@H](C)[C@@H](CN(C)C(=O)Nc1cc(F)ccc1F)O2,0,training
CC(C)CC#Cc1cnc2c(c1)C(=O)N([C@@H](C)CO)C[C@@H](C)[C@H](CN(C)C(=O)Nc1cc(F)ccc1F)O2,0,val
CC(C)CC#Cc1cnc2c(c1)C(=O)N([C@@H](C)CO)C[C@H](C)[C@@H](CN(C)C(=O)Nc1cc(F)ccc1F)O2,0,training
CC(C)NC(=O)N(C)C[C@@H]1Oc2c(NC(=O)c3nc4ccccc4s3)cccc2C(=O)N([C@@H](C)CO)C[C@@H]1C,0,training
CC(C)NC(=O)N(C)C[C@H]1Oc2c(NC(=O)c3nc4ccccc4s3)cccc2C(=O)N([C@H](C)CO)C[C@H]1C,1,training
CC(C)NC(=O)N(C)C[C@H]1Oc2c(NC(=O)c3nc4ccccc4s3)cccc2C(=O)N([C@@H](C)CO)C[C@H]1C,0,test
CC(C)NC(=O)N(C)C[C@H]1Oc2c(NC(=O)c3nc4ccccc4s3)cccc2C(=O)N([C@H](C)CO)C[C@@H]1C,0,training
CC(C)NC(=O)N(C)C[C@@H]1Oc2c(NC(=O)c3nc4ccccc4s3)cccc2C(=O)N([C@@H](C)CO)C[C@H]1C,0,training
CC(C)NC(=O)N(C)C[C@@H]1Oc2c(NC(=O)c3nc4ccccc4s3)cccc2C(=O)N([C@H](C)CO)C[C@@H]1C,0,training
CC(C)NC(=O)N(C)C[C@H]1Oc2c(NC(=O)c3nc4ccccc4s3)cccc2C(=O)N([C@@H](C)CO)C[C@@H]1C,0,training
CC(C)NC(=O)N(C)C[C@@H]1Oc2c(NC(=O)c3nc4ccccc4s3)cccc2C(=O)N([C@H](C)CO)C[C@H]1C,0,training
CC(C)NC(=O)N(C)C[C@H]1Oc2cc(-c3cncnc3)ccc2S(=O)(=O)N([C@@H](C)CO)C[C@H]1C,1,training
CC(C)NC(=O)N(C)C[C@@H]1Oc2cc(-c3cncnc3)ccc2S(=O)(=O)N([C@@H](C)CO)C[C@H]1C,0,training
CC(C)NC(=O)N(C)C[C@H]1Oc2cc(-c3cncnc3)ccc2S(=O)(=O)N([C@@H](C)CO)C[C@@H]1C,0,training
CC(C)NC(=O)N(C)C[C@@H]1Oc2cc(-c3cncnc3)ccc2S(=O)(=O)N([C@H](C)CO)C[C@@H]1C,0,test
CC(C)NC(=O)N(C)C[C@H]1Oc2cc(-c3cncnc3)ccc2S(=O)(=O)N([C@H](C)CO)C[C@H]1C,0,training
CC(C)NC(=O)N(C)C[C@@H]1Oc2cc(-c3cncnc3)ccc2S(=O)(=O)N([C@@H](C)CO)C[C@@H]1C,0,training
CC(C)NC(=O)N(C)C[C@H]1Oc2cc(-c3cncnc3)ccc2S(=O)(=O)N([C@H](C)CO)C[C@@H]1C,0,training
CC(C)NC(=O)N(C)C[C@@H]1Oc2cc(-c3cncnc3)ccc2S(=O)(=O)N([C@H](C)CO)C[C@H]1C,0,test
CC(C)NC(=O)N(C)C[C@H]1Oc2ncc(C#Cc3ccccc3F)cc2C(=O)N([C@H](C)CO)C[C@@H]1C,0,val
CC(C)NC(=O)N(C)C[C@@H]1Oc2ncc(C#Cc3ccccc3F)cc2C(=O)N([C@@H](C)CO)C[C@H]1C,0,training
CC(C)NC(=O)N(C)C[C@H]1Oc2ncc(C#Cc3ccccc3F)cc2C(=O)N([C@@H](C)CO)C[C@@H]1C,1,training
CC(C)NC(=O)N(C)C[C@@H]1Oc2ncc(C#Cc3ccccc3F)cc2C(=O)N([C@H](C)CO)C[C@H]1C,0,val
CC(C)NC(=O)N(C)C[C@H]1Oc2ncc(C#Cc3ccccc3F)cc2C(=O)N([C@@H](C)CO)C[C@H]1C,0,training
CC(C)NC(=O)N(C)C[C@H]1Oc2ncc(C#Cc3ccccc3F)cc2C(=O)N([C@H](C)CO)C[C@H]1C,0,test
CC(C)NC(=O)N(C)C[C@@H]1Oc2ncc(C#Cc3ccccc3F)cc2C(=O)N([C@@H](C)CO)C[C@@H]1C,0,val
CC(C)NC(=O)N(C)C[C@@H]1Oc2ncc(C#Cc3ccccc3F)cc2C(=O)N([C@H](C)CO)C[C@@H]1C,0,training
CC(C)NC(=O)N1[C@H](C#N)[C@H](c2ccc(C#CC3CCCC3)cc2)[C@H]1CO,0,training
CC(C)NC(=O)N1[C@H](C#N)[C@H](c2ccc(C#CC3CCCC3)cc2)[C@@H]1CO,1,training
CC(C)NC(=O)N1[C@H](CO)[C@@H](c2ccc(C#CC3CCCC3)cc2)[C@@H]1C#N,0,training
CC(C)NC(=O)N1[C@@H](C#N)[C@@H](c2ccc(C#CC3CCCC3)cc2)[C@@H]1CO,0,val
CC(C)NC(=O)N1[C@H](C#N)[C@@H](c2ccc(C#CC3CCCC3)cc2)[C@@H]1CO,0,training
CC(C)NC(=O)N1[C@H](C#N)[C@@H](c2ccc(C#CC3CCCC3)cc2)[C@H]1CO,0,training
CC(C)NC(=O)N1[C@@H](C#N)[C@H](c2ccc(C#CC3CCCC3)cc2)[C@@H]1CO,0,training
CC(C)NC(=O)N1[C@H](CO)[C@H](c2ccc(C#CC3CCCC3)cc2)[C@@H]1C#N,0,training
CC(C)NC(=O)N1[C@@H](C#N)[C@H](c2ccc(C#CC3CCCCC3)cc2)[C@@H]1CO,0,test
CC(C)NC(=O)N1[C@H](CO)[C@H](c2ccc(C#CC3CCCCC3)cc2)[C@@H]1C#N,0,training
CC(C)NC(=O)N1[C@H](C#N)[C@H](c2ccc(C#CC3CCCCC3)cc2)[C@H]1CO,0,training
CC(C)NC(=O)N1[C@H](C#N)[C@H](c2ccc(C#CC3CCCCC3)cc2)[C@@H]1CO,1,training
CC(C)NC(=O)N1[C@H](C#N)[C@@H](c2ccc(C#CC3CCCCC3)cc2)[C@@H]1CO,0,test
CC(C)NC(=O)N1[C@H](CO)[C@@H](c2ccc(C#CC3CCCCC3)cc2)[C@@H]1C#N,0,test
CC(C)NC(=O)N1[C@H](C#N)[C@@H](c2ccc(C#CC3CCCCC3)cc2)[C@H]1CO,0,val
CC(C)NC(=O)N1[C@@H](C#N)[C@@H](c2ccc(C#CC3CCCCC3)cc2)[C@@H]1CO,0,val
CC(C)NC(=O)N1[C@H](CO)[C@@H](c2ccccc2-c2ccc(F)cc2)[C@@H]1C#N,0,training
CC(C)NC(=O)N1[C@H](C#N)[C@@H](c2ccccc2-c2ccc(F)cc2)[C@@H]1CO,0,training
CC(C)NC(=O)N1[C@H](C#N)[C@H](c2ccccc2-c2ccc(F)cc2)[C@@H]1CO,1,training
CC(C)NC(=O)N1[C@H](CO)[C@H](c2ccccc2-c2ccc(F)cc2)[C@@H]1C#N,0,training
CC(C)NC(=O)N1[C@H](CO)[C@@H](c2ccccc2)C12CN(Cc1ccc(Cl)cc1)C2,1,training
CC(C)NC(=O)N1[C@@H](CO)[C@@H](c2ccccc2)C12CN(Cc1ccc(Cl)cc1)C2,0,training
CC(C)NC(=O)N1Cc2cc(C(=O)NCC(F)(F)F)nc(-c3cccc(-c4cc5ccccc5o4)c3)c2[C@H]1CCO,1,training
CC(C)NC(=O)N1Cc2cc(C(=O)NCC(F)(F)F)nc(-c3cccc(-c4cc5ccccc5o4)c3)c2[C@@H]1CCO,0,val
CC(C)NC(=O)Nc1ccc2c(c1)C(=O)N([C@H](C)CO)C[C@H](C)[C@H](CN(C)C(=O)Nc1cccc3ccccc13)OCCCC[C@@H](C)O2,0,training
CC(C)NC(=O)Nc1ccc2c(c1)C(=O)N([C@@H](C)CO)C[C@@H](C)[C@@H](CN(C)C(=O)Nc1cccc3ccccc13)OCCCC[C@@H](C)O2,0,training
CC(C)NC(=O)Nc1ccc2c(c1)C(=O)N([C@H](C)CO)C[C@H](C)[C@@H](CN(C)C(=O)Nc1cccc3ccccc13)OCCCC[C@@H](C)O2,0,training
CC(C)NC(=O)Nc1ccc2c(c1)C(=O)N([C@@H](C)CO)C[C@@H](C)[C@H](CN(C)C(=O)Nc1cccc3ccccc13)OCCCC[C@@H](C)O2,0,training
CC(C)NC(=O)Nc1ccc2c(c1)C(=O)N([C@@H](C)CO)C[C@@H](C)[C@H](CN(C)C(=O)Nc1cccc3ccccc13)OCCCC[C@H](C)O2,1,training
CC(C)NC(=O)Nc1ccc2c(c1)C(=O)N([C@H](C)CO)C[C@H](C)[C@H](CN(C)C(=O)Nc1cccc3ccccc13)OCCCC[C@H](C)O2,0,training
CC(C)NC(=O)Nc1ccc2c(c1)C(=O)N([C@H](C)CO)C[C@@H](C)[C@H](CN(C)C(=O)Nc1cccc3ccccc13)OCCCC[C@H](C)O2,0,val
CC(C)NC(=O)Nc1ccc2c(c1)C(=O)N([C@H](C)CO)C[C@H](C)[C@@H](CN(C)C(=O)Nc1cccc3ccccc13)OCCCC[C@H](C)O2,0,training
CC(C)NC(=O)Nc1ccc2c(c1)C(=O)N([C@@H](C)CO)C[C@H](C)[C@H](CN(C)S(=O)(=O)c1ccc(Cl)cc1)OCCCC[C@@H](C)O2,1,training
CC(C)NC(=O)Nc1ccc2c(c1)C(=O)N([C@@H](C)CO)C[C@@H](C)[C@@H](CN(C)S(=O)(=O)c1ccc(Cl)cc1)OCCCC[C@@H](C)O2,0,val
