smiles,group,DILI
CC(C)(CO)C(O)C(=O)NCCCO,training,0
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,training,1
NC1=NC(=O)C(c2ccccc2)O1,training,1
C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,training,1
CC(COc1ccccc1)N(CCCl)Cc1ccccc1,training,0
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,training,1
CC(C)NCC(O)COc1cccc2[nH]ccc12,training,0
O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,training,0
CCC1(c2ccccc2)C(=O)NCNC1=O,training,0
CC(C)(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,training,0
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,training,1
OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1,training,0
CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,training,0
CNCCCC1c2ccccc2C=Cc2ccccc21,training,0
CN(C)C(=O)Oc1ccc[n+](C)c1,training,0
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,training,1
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,training,1
CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,training,0
C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,training,0
Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,training,1
Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,training,1
CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc(S(C)=O)cc1,training,1
Cn1nnc2c(C(N)=O)ncn2c1=O,training,0
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,training,0
Clc1ccccc1CN1CCc2sccc2C1,training,1
Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1,training,1
Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,training,1
O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,training,1
OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,training,0
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,training,1
Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,training,1
COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,training,1
NS(=O)(=O)Cc1noc2ccccc12,training,1
COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,training,0
CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,training,0
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,training,0
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,training,1
CC12COC(=O)CC1CCC1C2CCC2(C)C1CCC2(C)O,training,1
CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,training,1
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1I,training,1
CCC1C(=O)OCC1Cc1cncn1C,training,0
CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,training,0
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1,training,1
NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O,training,0
Cc1onc(-c2ccccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,training,1
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,training,0
CSCCC(N)C(=O)O,training,0
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,training,0
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,training,0
NC(N)=NCCCC(N)C(=O)O,training,0
CN1CCN(C(c2ccccc2)c2ccccc2)CC1,training,0
c1ccc2c(c1)Nc1ccccc1S2,training,1
CCC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,training,0
O=C(O)c1cc(-c2ccccc2)nc2ccccc12,training,1
CCOC(=O)C1(c2ccccc2)CCN(CCc2ccc(N)cc2)CC1,training,0
CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)oc2ccccc2c1=O,training,1
COC1C(OC(N)=O)C(O)C(Oc2ccc3c(=O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(O)oc3c2C)OC1(C)C,training,1
Nc1ncn(C2OC(CO)C(O)C2O)c(=O)n1,training,1
CC12CC(=CO)C(=O)CC1CCC1C2CCC2(C)C1CCC2(C)O,training,1
C[N+](C)(C)CC(O)CC(=O)[O-],training,0
OCC1OC(OC2C(CO)OC(O)(CO)C2O)C(O)C(O)C1O,training,0
Cn1c(=O)c2[nH]c(Br)nc2n(C)c1=O,training,0
CC1C(c2ccccc2)OCCN1C,training,0
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,training,1
CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1,training,0
CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1,training,0
COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1C=COC1O2,training,1
Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,training,0
CNC1C(O)C(NC)C2OC3(O)C(=O)CC(C)OC3OC2C1O,training,0
NC(N)=NC(=O)c1nc(Cl)c(N)nc1N,training,1
OCCN1CCN(CCC=C2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,training,0
Cc1cn(C2C=CC(CO)O2)c(=O)[nH]c1=O,training,1
Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,training,1
CNC1C(OC2C(OC3C(O)C(O)C(N=C(N)N)C(O)C3N=C(N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O,training,0
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC2(C)C1(O)C(=O)CO,training,0
CN(C)CCCC1c2ccccc2Nc2ccc(Cl)cc21,training,1
CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2,training,0
CC(=O)OC1CC2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2(C)CC1[N+]1(C)CCCCC1,training,0
O=C(O)Cc1csc(-c2ccc(Cl)cc2)n1,training,1
CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)N(C(C)=O)c3ccccc32)cc1,training,1
CN(N=O)C(=O)NC1C(O)OC(CO)C(O)C1O,training,1
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,training,0
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,training,0
COc1ccc2c(C(=O)c3ccc(Cl)cc3)c(C)n(CC(=O)O)c2c1,training,1
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2,training,1
Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O,training,1
CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,training,1
CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1,training,0
CC(C)(C)NCC(O)COc1ccccc1C1CCCC1,training,0
NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)C(O)C(O)C2O)C(O)C1OC1OC(CO)C(O)C(N)C1O,training,0
O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,training,1
CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,training,0
COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,training,1
CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1,training,1
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,training,0
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1,training,1
CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3csc(N)n3)C2SC1,training,1
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,training,1
O=c1nc[nH]c2c1ncn2C1CCC(CO)O1,training,1
CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,training,0
CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,training,0
CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1Cc2ccccc2CC1C(=O)O,training,1
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O,training,0
CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,training,1
CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,training,1
CC(C)(C)NC(=O)C1CCC2C3CCC4NC(=O)C=CC4(C)C3CCC12C,training,0
CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1,training,1
Nc1ncnc2c1ncn2CCOCP(=O)(O)O,training,1
CC(c1cc2ccccc2s1)N(O)C(N)=O,training,1
COCC(=O)OC1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2C1C(C)C,training,0
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,training,0
CC(O)CN1CCN(CC(=O)[O-])CCN(CC(=O)[O-])CCN(CC(=O)[O-])CC1,training,0
CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,training,1
CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O,training,1
Nc1ccn(C2CSC(CO)O2)c(=O)n1,training,1
Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1,training,1
Cc1cc(Br)c(O)c2ncccc12,training,1
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21,training,0
CN1c2ccccc2C(NCCCCCCC(=O)O)c2ccc(Cl)cc2S1(=O)=O,training,1
Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,training,1
CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,training,1
C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,training,1
CCCCOCC(CN1C(=O)N(CC(COCCCC)OC(N)=O)C(=O)C(CC)(c2ccccc2)C1=O)OC(N)=O,training,1
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC2(C)C1(O)C(=O)CCl,training,0
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,training,1
CC(=O)OC12COC1CC(O)C1(C)C(=O)C(O)C3=C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C,training,1
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,training,1
CCCCCC(O)C=CC1C(O)CC(=O)C1CCCCCCC(=O)O,training,0
COc1c(N2CC3CCCNC3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,training,1
CCOC1OC(=O)CC1NC(=O)C1CCCN2C(=O)CCC(NC(=O)c3nccc4ccccc34)C(=O)N12,training,1
C=C1C(CO)C(O)CC1n1cnc2c(=O)nc(N)[nH]c21,training,1
NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CO)C(O)C(O)C3N)C2O)C(N)C(O)C1O,training,0
O=C(O)CCCCC1SCC2NC(=O)NC21,training,0
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,training,0
COC(c1ccccc1)(c1ccccc1)C(Oc1nc(C)cc(C)n1)C(=O)O,training,1
COC1CC(OC2C(C)C(=O)OC(C)C(C)C(OC(C)=O)C(C)C(=O)C3(CO3)CC(C)C(OC3OC(C)CC(N(C)C)C3OC(C)=O)C2C)OC(C)C1OC(C)=O,training,1
CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,training,1
CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(N)cc1,training,1
CCOC(Nc1ccc(C(=O)O)cc1)C(=O)c1ccc(-c2ccccc2)cc1,training,1
NC(C(=O)O)C1CC(Cl)=NO1,training,0
CC(C)c1nc(CN(C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,training,1
CC1OC(OC2C(CO)OC(OC3C(CO)OC(O)C(O)C3O)C(O)C2O)C(O)C(O)C1NC1C=C(CO)C(O)C(O)C1O,training,1
COC1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CSC21,training,1
NC1CC1c1ccccc1,training,0
CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C,training,0
C=CC[N+]1(C2CC3C4CCC5CC(O)C(N6CCOCC6)CC5(C)C4CCC3(C)C2OC(C)=O)CCCC1,training,0
CC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,training,0
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO,training,0
Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)C(NC(=O)C(O)c3ccccc3)C2SC1,training,1
CC1(C)SC2C(NC(=O)C(NC(=O)N3CCN(S(C)(=O)=O)C3=O)c3ccccc3)C(=O)N2C1C(=O)O,training,1
S=c1nc[nH]c2nc[nH]c12,training,1
CN1CCCN=C1C=Cc1cccs1,training,0
CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,training,1
Cn1cc[nH]c1=S,training,1
CC(C)n1c(C=CC(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,training,0
Nc1nc(=S)c2[nH]cnc2[nH]1,training,1
CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,training,1
NCCCC(N)CC(=O)NCC1NC(=O)C(CO)NC(=O)C(N)CNC(=O)C(C2CCN=C(N)N2)NC(=O)C(=CNC(N)=O)NC1=O,training,0
CCCCN1C(=O)C(C(O)C2CCCCC2)NC(=O)C12CCN(Cc1ccc(Oc3ccc(C(=O)O)cc3)cc1)CC2,training,1
CN(C)Cc1ccc(CSCCNC(=C[N+](=O)[O-])NCc2ccc3c(c2)OCO3)o1,training,1
CCCCCCCCCCCC(CC1OC(=O)C1CCCCCC)OC(=O)C(CC(C)C)NC=O,training,1
COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1,training,0
CN1C(=C(O)Nc2ccccn2)C(=O)c2ccccc2S1(=O)=O,training,1
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C,training,0
CC1c2cccc(O)c2C(O)=C2C(=O)C3(O)C(=O)C(=C(N)O)C(=O)C(N(C)C)C3C(O)C21,training,1
Cc1ccc(C(=CCN2CCCC2)c2ccccn2)cc1,training,0
COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,training,0
C=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5,training,0
CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,training,0
CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,training,1
CN(C)NN=C1N=CN=C1C(N)=O,training,1
O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1,training,1
O=C(O)C1=CC(=NNc2ccc(S(=O)(=O)Nc3ccccn3)cc2)C=CC1=O,training,1
COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,training,0
CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CSC12)c1csc(N)n1,training,1
CCOC(=O)C(CCc1ccccc1)NC1CCc2ccccc2N(CC(=O)O)C1=O,training,1
COC1C=COC2(C)Oc3c(C)c(O)c4c(c3C2=O)C(=O)C(=CNN2CCN(C)CC2)C(=C4O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,training,1
CCC1OC(=O)C(C)C(=O)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)OC12C,training,1
CON=C(N)c1ccc(-c2ccc(-c3ccc(C(N)=NOC)cc3)o2)cc1,training,1
CC(C)CC(CN)CC(=O)O,training,0
CC1CN(CC(Cc2ccccc2)C(=O)NCC(=O)O)CCC1(C)c1cccc(O)c1,training,0
O=C1C=CC=CC1=C1NC(=C2C=CC=CC2=O)N(c2ccc(C(=O)O)cc2)N1,training,1
COC1C=COC2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C)C4=O,training,1
CCCCCCCCC=CCCCCCCCC(=O)O,training,0
CC(=O)Oc1cc2c(s1)CCN(C(C(=O)C1CC1)c1ccccc1F)C2,training,0
CN1CCC(Nc2ncc3ncnc(Nc4ccc(F)c(Cl)c4)c3n2)CC1,training,1
Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,training,1
C[N+]1(C)C2CCC1CC(OC(=O)C(O)c1ccccc1)C2,training,0
[C-]#N,training,0
C=C1c2cccc(O)c2C(O)=C2C(=O)C3(O)C(O)=C(C(N)=O)C(=O)C(N(C)C)C3C(O)C12,training,1
O=C1OC(C(O)CO)C(O)=C1O,training,0
CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4C(O)C3CC12,training,1
OCC(O)C(O)C(O)C(O)CO,training,0
Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3,training,1
Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,training,1
CC(=O)Oc1ccc(C(=C2CCCCC2)c2ccc(OC(C)=O)cc2)cc1,training,1
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,training,0
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,training,1
